"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
2000,2.466906,2.375632,1.886327
2001,2.620633,2.448229,1.938066
2002,2.780630,2.503889,1.959105
2003,3.048933,2.690721,2.092224
2004,2.548121,2.646100,2.082220
2005,2.392356,2.917671,2.283057
2006,2.520300,3.063900,2.384332
2007,2.840834,3.329793,2.553672
2008,2.908232,3.800447,2.992018
2009,2.928345,4.041304,3.260700
2010,3.033180,4.527085,3.597971
2011,3.156806,4.812184,3.714101
2012,3.359043,5.107530,3.873730
2013,3.533868,5.236163,4.253772
2014,3.648469,4.980743,4.285725
2015,3.960028,5.486395,4.815929
2016,4.185230,5.812178,5.078355
2017,4.367872,7.126452,6.304868
2018,4.499697,7.382668,6.478627
2019,4.796614,7.688718,6.658051
2020,3.582130,6.347118,5.454886
2021,4.386237,8.365256,6.990275
