"Year","OECD_production","OECD_consumption","Non-OECD_production","Non-OECD_consumption","transfers"
1990,3.318394,4.042390,2.741608,2.017612,0.723996
1991,3.315031,3.992132,2.876504,2.199403,0.677101
1992,3.331694,3.803911,2.676125,2.203908,0.472217
1993,3.350317,3.787162,2.719620,2.282776,0.436844
1994,3.403407,3.797172,2.723640,2.329875,0.393765
1995,3.444270,3.824659,2.807411,2.427022,0.380389
1996,3.554656,3.915738,2.881074,2.519993,0.361081
1997,3.578456,3.898871,2.887621,2.567206,0.320415
1998,3.576713,3.907343,2.859907,2.529278,0.330630
1999,3.609103,3.962395,2.957316,2.604023,0.353292
2000,3.699811,4.082964,3.046013,2.662861,0.383152
2001,3.688014,4.091068,3.106708,2.703655,0.403054
2002,3.712230,4.125776,3.233700,2.820154,0.413546
2003,3.777945,4.256302,3.541306,3.062949,0.478357
2004,3.815985,4.323908,3.748641,3.240719,0.507923
2005,3.832774,4.397313,3.987253,3.422714,0.564539
2006,3.817812,4.425925,4.264592,3.656479,0.608113
2007,3.857298,4.444966,4.453475,3.865807,0.587668
2008,3.755769,4.332846,4.700235,4.123158,0.577077
2009,3.521459,3.991891,4.796848,4.326416,0.470432
2010,3.644472,4.143140,5.150991,4.652324,0.498667
2011,3.604405,4.089965,5.491716,5.006156,0.485560
2012,3.562561,4.014380,5.672919,5.221100,0.451819
2013,3.579520,3.968267,5.732648,5.343901,0.388747
2014,3.527768,3.901239,5.846080,5.472609,0.373471
2015,3.494927,3.816909,5.867280,5.545299,0.321982
2016,3.457963,3.780519,5.899664,5.577108,0.322556
2017,3.451840,3.774609,6.045788,5.723018,0.322769
2018,3.468943,3.810330,6.221429,5.880043,0.341386
2019,3.377167,3.725661,6.387001,6.038507,0.348494
2020,3.082018,3.441738,6.238114,5.878394,0.359720
2021,3.254735,3.655139,6.545628,6.145224,0.400404
