"Year","Land-use change","Coal","Oil","Gas","Others"
1850,93.072109,6.927891,0,0,0
1851,93.148831,6.851169,0,0,0
1852,93.117704,6.882296,0,0,0
1853,93.060560,6.939440,0,0,0
1854,92.807557,7.192443,0,0,0
1855,92.620316,7.379482,0.000203,0,0
1856,92.419416,7.580222,0.000362,0,0
1857,92.273213,7.726264,0.000524,0,0
1858,92.152283,7.847030,0.000687,0,0
1859,92.018108,7.981101,0.000791,0,0
1860,91.794171,8.204300,0.001529,0,0
1861,91.543917,8.452143,0.003940,0,0
1862,91.311575,8.681311,0.007114,0,0
1863,91.059827,8.930583,0.009591,0,0
1864,90.778692,9.209963,0.011346,0,0
1865,90.477764,9.508927,0.013309,0,0
1866,90.191860,9.791877,0.016263,0,0
1867,89.889137,10.091928,0.018935,0,0
1868,89.593275,10.384899,0.021826,0,0
1869,89.280912,10.694133,0.024956,0,0
1870,89.021265,10.950257,0.028478,0,0
1871,88.760413,11.207758,0.031829,0,0
1872,88.459149,11.505475,0.035375,0,0
1873,88.151759,11.807152,0.041089,0,0
1874,87.928059,12.024964,0.046977,0,0
1875,87.672525,12.275669,0.051806,0,0
1876,87.433969,12.509045,0.056986,0,0
1877,87.210723,12.725111,0.064166,0,0
1878,87.008776,12.919240,0.071985,0,0
1879,86.783623,13.134648,0.081729,0,0
1880,86.500335,13.406480,0.093185,0,0.000000
1881,86.211235,13.683285,0.105480,0,0.000000
1882,85.914064,13.967550,0.118239,0.000146,0.000001
1883,85.604118,14.267582,0.127833,0.000466,0.000001
1884,85.309926,14.550473,0.138189,0.001412,0.000001
1885,85.030907,14.816477,0.148309,0.004305,0.000001
1886,84.766426,15.063699,0.159848,0.010026,0.000002
1887,84.494308,15.315611,0.171694,0.018385,0.000002
1888,84.171903,15.615002,0.183373,0.029720,0.000002
1889,83.869749,15.896144,0.196932,0.037173,0.000003
1890,83.556860,16.186187,0.213267,0.043683,0.000003
1891,83.243356,16.476450,0.232247,0.047944,0.000003
1892,82.949602,16.749716,0.249501,0.051178,0.000004
1893,82.691289,16.987866,0.266952,0.053889,0.000004
1894,82.430165,17.231100,0.282672,0.056059,0.000004
1895,82.150201,17.490491,0.301057,0.058246,0.000004
1896,81.869780,17.749699,0.320354,0.060163,0.000005
1897,81.576276,18.021660,0.339892,0.062168,0.000005
1898,81.266622,18.309870,0.358887,0.064615,0.000005
1899,80.917854,18.636296,0.377782,0.068061,0.000006
1900,80.558894,18.970822,0.398728,0.071549,0.000006
1901,80.200745,19.302134,0.421703,0.075411,0.000007
1902,79.851306,19.623457,0.445846,0.079383,0.000008
1903,79.457661,19.988623,0.470287,0.083421,0.000009
1904,79.085866,20.328308,0.497577,0.087455,0.000793
1905,78.688346,20.694676,0.523355,0.092030,0.001593
1906,78.281719,21.071100,0.547732,0.097043,0.002406
1907,77.793858,21.522768,0.578285,0.101949,0.003140
1908,77.370207,21.908662,0.610814,0.106526,0.003792
1909,76.941015,22.298944,0.643240,0.112208,0.004594
1910,76.487211,22.712088,0.677281,0.118061,0.005359
1911,76.042819,23.114723,0.712521,0.123875,0.006061
1912,75.576568,23.539287,0.747160,0.130226,0.006759
1913,75.066212,24.002219,0.787564,0.136557,0.007448
