"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1990,0.049683,0.855730,139545.003860,17581206
1991,0.045505,0.540057,50170.465962,17767253
1992,0.059020,0.857005,66522.130187,18300845
1993,0.063263,1.138707,86671.569995,19201195
1994,0.076573,1.288926,90012.353784,20139807
1995,0.079841,1.284082,91920.635035,20825860
1996,0.074823,1.285528,102051.011180,21501321
1997,0.076296,1.523848,123724.539760,22176593
1998,0.080984,1.143831,166851.320290,22884399
1999,0.082416,0.825264,196187.563260,23636527
2000,0.083722,1.161406,229385.766830,24424056
2001,0.096802,1.297420,233426.351440,25197840
2002,0.097090,1.233140,214288.962450,26006559
2003,0.101424,1.094481,135734.587430,26802659
2004,0.113016,1.173634,208192.145520,27577878
2005,0.114282,1.109763,211672.888400,28407448
2006,0.098838,1.078676,223624.570040,28616515
2007,0.061361,1.087779,227841.172640,28391607
2008,0.094335,1.245165,246588.188350,28971036
2009,0.105211,1.222130,254921.140760,30058206
2010,0.113983,1.412158,271242.632100,31045366
2011,0.123526,1.458361,291711.879220,32161424
2012,0.134040,1.588693,332366.101580,33654842
2013,0.141704,1.747611,357720.886230,35281989
2014,0.137513,1.717903,358425.656150,36550059
2015,0.142530,1.696750,375353.612500,37560535
2016,0.153132,1.816861,427105.015190,38469627
2017,0.167472,2.154461,419332.770180,39337353
2018,0.186156,2.241682,430377.370500,40265624
2019,0.191778,2.404164,456016.359960,41192171
2020,0.172098,2.141166,384544.492740,42116605
2021,0.193115,2.226359,407373.200640,43071211
2022,0.217644,2.448016,446174.921660,44070551
2023,0.227910,2.584185,471701.529040,45074049
2024,0.233636,2.652411,484440.741650,46042015
