"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,"NaN",0.825622,1.103193,0,0,0
2001,0.000774,0.815836,1.133028,"NaN","NaN",0
2002,0.003947,0.847104,1.279044,"NaN","NaN",0
2003,0.004644,0.937927,1.329588,"NaN","NaN",0
2004,0.005263,1.013601,1.411371,"NaN","NaN",0
2005,0.006089,1.054509,1.475955,"NaN","NaN",0
2006,0.011791,1.134928,1.521936,"NaN","NaN",0
2007,0.005676,1.214647,1.725776,"NaN","NaN",0
2008,0.014371,1.276875,2.086996,"NaN","NaN",0
2009,0.011467,1.247370,2.073171,"NaN","NaN",0.000064
2010,0.027550,1.339457,2.133779,"NaN","NaN",0.000184
2011,0.018626,1.437620,2.218901,"NaN","NaN",0.000206
2012,0.057877,1.507136,2.301507,"NaN","NaN",0.000239
2013,0.074091,1.673750,2.330987,"NaN","NaN",0.000853
2014,0.082606,1.701856,2.283659,0,"NaN",0.003037
2015,0.071790,1.778950,2.572939,0,"NaN",0.002914
2016,0.077061,1.931980,2.589515,0,"NaN",0.003045
2017,0.089137,1.911882,2.418664,0,"NaN",0.007139
2018,0.080396,1.899737,2.377833,0,"NaN",0.011411
2019,0.074406,1.855731,2.508006,0,"NaN",0.034692
2020,0.089326,1.731827,2.330235,0.014760,"NaN",0.049028
2021,0.099020,1.913526,2.547464,0.095350,"NaN",0.058902
2022,0.102740,2.186117,2.514535,0.181072,"NaN",0.065369
