"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1990,0.002222,0.078077,8950.604083,254833
1991,0.002103,0.076276,8930.597840,257812
1992,0.002249,0.078963,8629.288344,261085.000000
1993,0.002400,0.082027,8742.629611,263754
1994,0.002349,0.082944,9058.138749,266053
1995,0.002469,0.085616,9068.699721,267510
1996,0.002523,0.090605,9482.878419,268960
1997,0.002618,0.095052,10030.193388,271185
1998,0.002638,0.102852,10768.696745,274111
1999,0.002841,0.112681,11203.204991,277448
2000,0.002933,0.119627,11761.689856,281280
2001,0.002865,0.120959,12233.745136,285053
2002,0.002992,0.125681,12302.194590,287607
2003,0.002985,0.126311,12565.792424,289605
2004,0.003107,0.128811,13546.226220,292168
2005,0.002976,0.129255,14375.856012,296834
2006,0.003154,0.141776,15283.977552,303874
2007,0.003494,0.162074,16576.217353,311651
2008,0.003811,0.203223,16942.467550,317514
2009,0.003730,0.202878,15644.029414,318612
2010,0.003627,0.202990,15200.869284,318158
2011,0.003503,0.202959,15481.443614,319137
2012,0.003499,0.204833,15646.110071,320841
2013,0.003489,0.211380,16358.392983,323885
2014,0.003445,0.211067,16634.394430,327512
2015,0.003541,0.220346,17372.406879,330952
2016,0.003494,0.221190,18467.508882,335574
2017,0.003611,0.231284,19242.211508,343531
2018,0.003665,0.239251,20182.924389,352854
2019,0.003553,0.227981,20671.902612,360700
2020,0.003339,0.209093,19210.214214,366614
2021,0.003491,0.218320,20045.506805,372644
2022,0.003598,0.229405,20697.845677,380356
2023,0.003508,0.230646,21178.869759,387558
2024,0.003803,0.226142,21674.824120,393396
