"Year","Cars","Light duty trucks","Heavy duty trucks and buses","All others"
1990,0,0,0,0.002387
1991,0,0,0,0.002387
1992,0,0,0,0.002387
1993,0,0,0,0.005524
1994,0,0,0,0.005524
1995,0,0,0,0.006289
1996,0,0,0,0.007360
1997,0,0,0,0.007360
1998,0,0,0,0.007360
1999,0,0,0,0.007460
2000,0,0,0,0.007460
2001,0,0,0,0.007460
2002,0,0,0,0.008908
2003,0,0,0,0.009516
2004,0,0,0,0.009055
2005,0,0,0,0.009914
2006,0,0,0,0.011530
2007,0,0,0,0.012621
2008,0,0,0,0.010291
2009,0,0,0,0.008046
2010,0,0,0,0.008063
2011,0,0,0,0.007394
2012,0.000155,0.000057,0.000280,0.006164
2013,0.002103,0.000739,0.003610,0.003092
2014,0.004238,0.001425,0.006863,0.002534
2015,0.015015,0.003971,0.017973,0.002620
2016,0.019586,0.003985,0.017196,0.002691
2017,0.021310,0.004470,0.019279,0.002654
2018,0.026513,0.005240,0.022475,0.002584
2019,0.026551,0.005225,0.021578,0.002718
2020,0.034068,0.005252,0.017767,0.002660
2021,0.058190,0.005481,0.017610,0.003518
2022,0.041009,0.002497,0.006718,0.003686
2023,0.039749,0.002151,0.005082,0.003265
2024,0.040719,0.008154,0.031246,0.003043
