"Year","Public electricity and heat production","Pulp, paper and print","Manufacturing industries and construction: Other","Commercial/institutional","All others"
1990,0.004107,19.533082,1.806573,13.619333,0.592630
1991,0.007483,19.644292,1.807308,14.187149,0.654675
1992,0.009397,19.251716,1.817202,14.330052,0.653144
1993,0.009342,18.378351,1.811436,14.504626,0.688599
1994,0.009755,18.642887,1.829765,14.718166,0.716230
1995,0.010915,19.451190,1.846378,15.309923,0.762704
1996,0.010854,19.549794,1.837744,15.781547,0.768918
1997,0.010254,20.255624,1.847650,16.269745,0.765617
1998,0.010052,18.768234,1.723831,16.732494,0.745548
1999,0.012101,19.473860,1.866404,17.161241,0.811839
2000,0.012832,20.213440,2.259386,17.651307,0.837109
2001,0.012398,18.542574,1.720139,18.333814,0.841785
2002,0.013942,19.374623,2.207853,19.616685,0.806782
2003,0.018319,19.942919,3.067425,20.580278,0.824185
2004,0.016588,20.450958,3.553212,21.669102,1.067535
2005,2.492326,21.259155,3.883548,22.753452,1.208182
2006,2.359735,22.034705,4.113556,23.124670,1.305052
2007,2.544168,23.403085,4.609281,23.668095,1.557325
2008,2.466359,22.062823,5.045026,22.151221,1.410476
2009,2.206800,20.579393,5.173716,20.889717,1.370607
2010,2.666640,22.359811,5.189068,21.569804,1.899466
2011,2.664706,21.446685,5.378604,21.598674,1.904345
2012,2.670712,20.889893,5.497832,22.697800,1.946705
2013,2.882831,21.696216,5.689461,22.085407,2.329768
2014,2.998684,22.179193,5.017019,22.873401,1.682458
2015,2.982230,22.239205,4.790176,23.307463,1.907397
2016,5.046161,19.780162,4.715012,23.784656,2.130575
2017,8.779508,20.315152,4.976489,24.227074,2.281116
2018,9.575872,20.664555,4.961520,23.479936,2.591045
2019,14.713018,20.008861,5.285198,23.147273,2.535505
2020,16.478528,17.247823,5.468859,21.293270,2.725231
2021,19.770198,18.812073,5.477819,22.584887,2.767483
2022,21.312428,17.624121,6.030668,21.221687,2.607141
2023,24.557297,18.169460,6.363537,20.873383,2.717987
2024,24.492244,17.388823,6.213859,20.920940,3.581919
