"Year","OECD_production","OECD_consumption","Non-OECD_production","Non-OECD_consumption","transfers"
1990,3.321221,4.051857,2.733439,2.002803,0.730636
1991,3.318609,4.000339,2.866686,2.184956,0.681730
1992,3.332333,3.815736,2.662920,2.179517,0.483403
1993,3.351606,3.798486,2.705282,2.258402,0.446881
1994,3.401971,3.809179,2.708774,2.301566,0.407208
1995,3.443899,3.838465,2.805932,2.411366,0.394566
1996,3.550975,3.917708,2.880510,2.513777,0.366733
1997,3.573830,3.882861,2.888243,2.579213,0.309031
1998,3.577015,3.909223,2.850239,2.518031,0.332208
1999,3.607576,3.946749,2.960206,2.621032,0.339173
2000,3.702596,4.077498,3.046302,2.671400,0.374902
2001,3.686308,4.086418,3.113771,2.713661,0.400110
2002,3.711940,4.122780,3.239066,2.828226,0.410840
2003,3.775162,4.248575,3.545643,3.072230,0.473413
2004,3.811342,4.311956,3.750492,3.249878,0.500614
2005,3.829699,4.382307,3.992278,3.439670,0.552609
2006,3.816756,4.402740,4.262817,3.676833,0.585984
2007,3.851834,4.417051,4.459029,3.893813,0.565216
2008,3.756442,4.309513,4.701931,4.148860,0.553071
2009,3.521747,3.975752,4.802206,4.348201,0.454005
2010,3.638926,4.115302,5.161741,4.685365,0.476376
2011,3.600080,4.061951,5.508527,5.046655,0.461871
2012,3.557193,3.978595,5.684249,5.262847,0.421402
2013,3.576151,3.938368,5.748528,5.386311,0.362217
2014,3.525308,3.874820,5.849651,5.500138,0.349513
2015,3.489316,3.783682,5.858639,5.564274,0.294365
2016,3.450480,3.763518,5.890063,5.577025,0.313038
2017,3.443451,3.753405,6.047131,5.737177,0.309954
2018,3.464877,3.787158,6.223340,5.901059,0.322281
2019,3.371817,3.705718,6.411751,6.077850,0.333901
2020,3.073664,3.427816,6.292788,5.938636,0.354152
2021,3.245601,3.632491,6.576391,6.189501,0.386890
2022,3.214352,3.645734,6.764388,6.333005,0.431383
2023,3.103135,3.548967,6.998200,6.552368,0.445832
