"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1990,0.056857,0.908932,280186.825370,32440069
1991,0.056609,0.933008,288001.854900,33098372.000000
1992,0.061341,0.966621,300453.945930,33760571
1993,0.063260,1.051871,317660.311880,34441473
1994,0.066982,1.139003,335474.106470,35127410
1995,0.059350,1.165409,353339.577890,35804662
1996,0.059628,1.211756,358950.794580,36462745
1997,0.065096,1.231811,370417.537900,37121149
1998,0.065560,1.247476,372655.811190,37792165
1999,0.055286,1.162348,353311.279660,38454863
2000,0.056213,1.131064,362388.546110,39089934
2001,0.056465,1.140713,368469.165250,39709262
2002,0.055417,1.140970,377695.129370,40324680
2003,0.057033,1.162308,392495.140950,40937429
2004,0.054324,1.222310,413426.676200,41543171
2005,0.060256,1.203486,432884.847870,42128977
2006,0.062466,1.389552,461961.154430,42691084
2007,0.060670,1.412176,493088.995950,43235374
2008,0.066982,1.470528,509279.306880,43758808
2009,0.071771,1.453616,515083.301920,44271541
2010,0.075431,1.528564,538234.540830,44777319
2011,0.075191,1.597668,575630.495970,45259614
2012,0.078675,1.698959,598152.820340,45715810
2013,0.086445,1.746143,628861.947240,46151584
2014,0.092042,1.838109,657154.633840,46565429
2015,0.091027,1.815847,676579.477000,46969940
2016,0.091583,1.975784,690702.279170,47437512
2017,0.083459,1.998811,700091.416280,48131078
2018,0.090811,2.056610,718044.030090,49024465
2019,0.098962,2.065450,740927.054840,49907985
2020,0.092305,1.864126,688705.394940,50629997
2021,0.103734,2.036934,761455.353620,51188173
2022,0.089437,2.258017,805620.578020,51737944
2023,0.089992,2.215108,834974.132100,52321152
2024,0.092659,2.217196,863697.241740,52886363
