"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar"
2017,-0.746506,-0.036168,-0.161634,4.058601,0.093959,0.064181
2018,-0.252438,0.069172,-0.355585,1.466939,0.018752,0.169168
2019,-3.659371,1.834511,0.491648,0.326812,0.090298,-0.047901
2020,-6.138191,0.935036,0.259321,-0.209666,-0.000267,-0.021506
2021,2.053219,0.428921,0.182313,0.672106,-0.096692,-0.042544
2022,2.273156,-2.692619,-0.531431,0.266680,0.039224,0.373413
2023,-6.430464,-0.592951,0.342081,-0.582954,0.060082,0.265951
2024,-3.336007,0.076001,0.158366,-0.680756,0.014653,0.696594
2025,-0.173369,0.066206,-0.924447,2.266158,-0.040257,0.665814
2026,0.130445,0.312806,-0.082341,0.032832,-0.026041,0.001691
