"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,-10.126618,0.284925,-0.188586,-0.014546,0.496638,0,-1.680474,0
1991,-13.091986,0.267811,-0.162511,0.003211,0.301321,0,-0.322676,0
1992,-14.453198,0.268812,-0.251853,-0.023624,0.304066,0,0.770394,0
1993,-14.413440,0.341710,-0.286379,-0.023945,0.524690,0,-0.275654,0
1994,-12.631622,0.283032,-0.427605,-0.030144,0.417240,0,-0.419427,0
1995,-12.419620,0.262043,-0.484605,-0.025266,0.344450,0,-0.827193,0
1996,-12.106410,0.264889,-0.734158,-0.020463,0.400124,0,-0.765555,0
1997,-11.205836,0.249053,-0.576783,-0.015253,0.391451,0,-0.835837,0
1998,-11.502572,0.427456,-0.456521,-0.000419,0.516793,0,-0.659642,0
1999,-11.395094,0.285823,-0.567465,0.009896,0.545378,0,-0.795162,0
2000,-11.572359,0.247969,-0.630674,0.013188,0.389778,0,-1.270881,0
2001,-11.600966,0.200040,-0.615998,-0.015500,0.345016,0,-1.201020,0
2002,-11.604279,0.178412,-0.643719,0.017041,0.397698,0,-1.099125,0
2003,-10.899231,0.214182,-0.607587,0.000128,0.481641,0,-1.483075,0
2004,-10.551514,0.221961,-0.641961,-0.007225,0.511882,0,-1.546437,0
2005,-10.763978,0.207557,-0.635477,-0.002063,0.451742,0,-1.433820,0
2006,-8.569709,0.194878,-0.658108,-0.004885,0.363659,0,-2.418494,0
2007,-7.690197,0.172333,-0.629229,-0.005377,0.337353,0,-2.924544,0
2008,-9.905616,0.228422,-0.631084,0.000812,0.330330,0,-2.047661,0
2009,-10.742573,0.208042,-0.600096,-0.001888,0.346979,0,-1.042116,0
2010,-9.568945,0.234069,-0.613535,0.029209,0.382724,0,-1.620462,0
2011,-11.239653,0.351105,-0.446601,0.039189,0.357534,0,-0.966834,0
2012,-11.627534,0.212308,-0.488089,0.009381,0.322638,0,-0.686752,0
2013,-11.624589,0.222557,-0.531545,0.026274,0.369313,0,-0.118160,0
2014,-11.666621,0.213709,-0.565553,0.012465,0.381679,0,-0.082672,0
2015,-11.120535,0.203740,-0.617861,0.006851,0.284134,0,-0.477683,0
2016,-9.568759,0.205430,-0.568386,0.011250,0.347574,0,-0.804479,0
2017,-7.699744,0.180101,-0.593770,0.002213,0.434133,0,-1.046089,0
2018,-1.364435,0.093947,-0.637913,-0.001315,0.236603,0,-1.428126,0
2019,5.963648,0.095819,-0.661523,0.005918,0.268724,0,-1.825906,0
2020,10.093203,0.097731,-0.660935,0.027966,0.282698,0,-2.792157,0
2021,6.169721,0.100786,-0.725486,0.008258,0.324121,0,-2.390082,0
2022,2.260815,0.100036,-0.765945,0.051784,0.267639,0,-1.979178,0
2023,-4.229868,0.102151,-0.806867,-0.014597,0.264086,0,-1.245983,0
2024,-5.094727,0.098548,-0.816717,0.013195,0.275978,0,-1.285433,0
