"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-27.709729,18.710808,-1.028697,-0.052243,-0.111396,0.019901
1991,-27.997748,15.098714,-0.380608,0.178937,-0.036728,0.019901
1992,-28.319009,13.979903,-0.178125,0.059064,-0.168240,0.019901
1993,-28.450120,14.272386,-0.157400,-0.140752,-0.103288,0.019901
1994,-28.085546,16.566298,-0.594074,-0.445115,-0.206253,0.019901
1995,-28.361945,17.344751,-0.674804,-0.570185,-0.243423,0.019901
1996,-28.590012,17.570574,-0.600608,-0.588409,-0.172023,0.019901
1997,-28.871172,19.033515,-0.862311,-0.715254,-0.233345,0.019901
1998,-29.568654,19.333754,-0.572505,-0.781251,-0.091452,0.019901
1999,-29.612333,19.729106,-0.532891,-0.834341,-0.224966,0.019901
2000,-29.957872,20.146058,-0.718292,-0.811076,-0.313864,0.019901
2001,-29.981438,20.007161,-0.403160,-0.899270,-0.362154,0.019901
2002,-30.113219,20.153283,-0.453193,-0.873836,-0.367458,0.019901
2003,-30.104398,20.947610,-0.784508,-0.817224,-0.324023,0.019901
2004,-30.264604,21.497762,-0.528497,-0.984301,-0.344354,0.019901
2005,-30.424226,21.318755,-0.440015,-0.915942,-0.361113,0.019901
2006,-30.465154,24.281718,-0.911173,-1.127381,-0.433719,0.019901
2007,-30.505472,25.447971,-1.172666,-1.094054,-0.446367,0.019901
2008,-30.593540,22.260437,-0.479279,-0.720169,-0.417810,0.019901
2009,-30.818762,21.315164,-0.231386,-0.644123,-0.417195,0.019901
2010,-30.961326,22.967957,-0.422237,-0.791609,-0.420816,0.019901
2011,-31.183799,20.818809,-0.096568,-0.481811,-0.359104,0.019901
2012,-31.320561,20.619901,-0.022790,-0.546598,-0.459240,0.019901
2013,-31.476557,20.940622,-0.109186,-0.558666,-0.451734,0.019901
2014,-31.645308,21.049772,-0.142957,-0.561401,-0.455309,0.019901
2015,-31.628029,21.932382,-0.373629,-0.625063,-0.491491,0.019901
2016,-31.439192,23.718298,-0.629943,-0.774071,-0.483782,0.019901
2017,-31.397324,25.967267,-0.900621,-0.926339,-0.488441,0.019901
2018,-31.335153,34.191723,-2.113874,-1.598690,-0.604198,0.019901
2019,-31.166595,42.992790,-3.150212,-2.189116,-0.630047,0.019901
2020,-30.975077,46.968213,-3.220482,-2.145237,-0.639818,0.019901
2021,-30.701682,39.955793,-1.521798,-1.069662,-0.586764,0.022195
2022,-30.532791,33.612850,-0.243527,-0.265024,-0.573476,0.022195
2023,-30.499285,25.044297,1.194977,0.541001,-0.567249,0.022215
2024,-30.473980,24.304272,1.095016,0.516341,-0.581022,0.022090
