"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar"
2015,0.601285,0.031212,-2.252000,-0.689001,"NaN",0.017414
2016,0.591348,0.017319,0.689276,"NaN","NaN",-0.006762
2017,-0.131308,0.050871,-0.636258,"NaN","NaN",0.016207
2018,-0.182750,0.004334,0.745757,-0.477918,0.000305,-0.029276
2019,-0.126461,0.048972,-0.208684,0.043073,0.000129,0.048068
2020,-0.109928,0.042732,0.537077,0.507864,0.000102,0.065647
2021,-0.467599,-0.053639,-0.227142,-0.622203,-0.000658,0.084910
2022,-0.648546,-0.028918,-1.578730,-0.107946,0.000138,0.192418
2023,0.009263,0.006962,1.906351,0.021794,0.000641,0.338766
2024,0.329802,0.056844,0.273878,0.194285,0.000245,0.840604
