"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1986,158.339583,16.771205,145.622924,0.749683,0.219747,-5.023976
1990,145.512254,15.097273,134.144293,0.689846,0.196818,-4.615975
1991,152.374942,13.976492,142.555908,0.636672,0.126343,-4.920473
1992,156.231207,13.885883,146.585690,0.699030,0.125264,-5.064660
1993,155.967025,14.254192,145.937047,0.662344,0.154788,-5.041346
1994,160.289726,14.639082,149.992475,0.692788,0.155243,-5.189862
1995,163.480491,15.356941,152.528426,0.719928,0.157718,-5.282522
1996,177.494301,16.002567,166.393496,0.723348,0.155315,-5.780426
1997,183.226599,16.512460,171.793764,0.732587,0.160477,-5.972688
1998,186.063507,16.044531,175.212285,0.741164,0.156571,-6.091044
1999,186.932179,15.418622,176.760744,0.743120,0.159672,-6.149979
2000,189.520702,15.059728,179.778724,0.767169,0.170541,-6.255459
2001,192.027308,16.309163,181.061747,0.768105,0.190067,-6.301773
2002,221.935912,16.570896,211.823444,0.731743,0.210572,-7.400743
2003,211.999785,16.278068,201.815471,0.706575,0.233606,-7.033935
2004,216.427591,16.710700,205.967785,0.688952,0.256122,-7.195967
2005,217.392701,16.941963,206.702412,0.691535,0.279076,-7.222285
2006,215.845437,17.184147,204.811704,0.702211,0.293116,-7.145742
2007,226.622939,17.349092,215.834548,0.706992,0.286247,-7.553939
2008,220.224511,18.284667,208.325061,0.671010,0.235757,-7.291984
2009,215.921866,16.209499,206.020746,0.661882,0.243715,-7.213976
2010,214.036268,16.465640,203.792353,0.654737,0.261253,-7.137715
2011,211.194926,16.364408,200.920887,0.663799,0.281945,-7.036114
2012,208.021375,15.765408,198.225822,0.667548,0.301409,-6.938812
2013,165.166122,15.137146,154.449106,0.646753,0.317609,-5.384491
2014,7.089883,13.568768,-7.879080,0.662120,0.331299,0.406776
2015,4.533941,13.659193,-10.665766,0.692160,0.341136,0.507217
2016,0.926740,14.469629,-15.290926,0.712388,0.360542,0.675107
2017,-2.135902,14.639880,-18.626443,0.704513,0.355446,0.790703
2018,-4.671496,14.565452,-21.175502,0.728014,0.334310,0.876231
2019,143.249017,14.054526,132.722117,0.770730,0.322833,-4.621189
2020,136.896669,12.873628,127.386279,0.763905,0.305417,-4.432561
2021,136.620805,13.076835,126.897162,0.757973,0.306618,-4.417782
2022,132.497777,12.723363,122.978798,0.745984,0.313737,-4.264105
2023,134.813193,11.997120,126.188638,0.710612,0.317598,-4.400774
2024,136.765865,12.701686,127.519603,0.680221,0.315885,-4.451531
