"YYYYMM","Diesel"
201001,0
201002,0
201003,0
201004,0
201005,0
201006,0.009751
201007,0
201008,0
201009,0
201010,0
201011,0
201012,0
201101,0
201102,0
201103,0.027356
201104,0
201105,0
201106,0
201107,0
201108,0
201109,0
201110,0
201111,0
201112,0
201201,0
201202,0
201203,0
201204,0
201205,0
201206,0
201207,0
201208,0
201209,0
201210,0
201211,0
201212,0
201301,0
201302,0
201303,0
201304,0
201305,0
201306,0
201307,0
201308,0
201309,0
201310,0
201311,0
201312,0
201401,0
201402,0
201403,0
201404,0
201405,0
201406,0
201407,0
201408,0
201409,0
201410,0
201411,0
201412,0
201501,0.059376
201502,0
201503,0.001368
201504,0.007386
201505,0
201506,0.052854
201507,0.064923
201508,0.020744
201509,0
201510,0.013269
201511,0
201512,0
201601,0
201602,0
201603,0
201604,0
201605,0
201606,0
201607,0.028347
201608,0
201609,0
201610,0.027819
201611,0.028921
201612,0
201701,0.203279
201702,0.068769
201703,0
201704,0
201705,0.035319
201706,0
201707,0.004038
201708,0.003034
201709,0.012354
201710,0.840302
201711,2.159914
201712,1.654438
201801,0
201802,0
201803,0
201804,0
201805,0
201806,0
201807,0
201808,0
201809,0
201810,0
201811,0
201812,0
201901,0
201902,0
201903,0
201904,0
201905,0
201906,0
201907,0
201908,0
201909,0
201910,0
201911,0
201912,0
202001,0
202002,0
202003,0
202004,0
202005,0
202006,0
202007,0
202008,0
202009,0
202010,0
202011,0
202012,0
202101,0
202102,0
202103,0
202104,0
202105,0
202106,0
202107,0
202108,0
202109,0
202110,0
202111,0
202112,0
202201,0
202202,0
202203,0
202204,0
202205,0
202206,0
202207,0
202208,0
202209,0
202210,0
202211,0
202212,0
202301,0
202302,0
202303,0
202304,0
202305,0
202306,0
202307,0
202308,0
202309,0
202310,0
202311,0
202312,0
202401,0
202402,0
202403,0
202404,0
202405,0
202406,0
202407,0
202408,0
202409,0
202410,0
202411,0
202412,0
202501,0
202502,0
202503,0
202504,0
202505,0
202506,0
