"Year","OECD_production","OECD_consumption","Non-OECD_production","Non-OECD_consumption","transfers"
1990,12.157632,14.808031,10.019822,7.369424,2.650398
1991,12.145359,14.621027,10.494297,8.018629,2.475668
1992,12.205366,13.931488,9.765325,8.039203,1.726122
1993,12.272865,13.869183,9.921866,8.325548,1.596318
1994,12.467842,13.906321,9.936828,8.498349,1.438479
1995,12.617641,14.009037,10.293686,8.902289,1.391396
1996,13.022008,14.343282,10.564009,9.242736,1.321273
1997,13.109108,14.280708,10.585763,9.414163,1.171600
1998,13.102756,14.308001,10.451008,9.245763,1.205244
1999,13.221436,14.516010,10.855054,9.560481,1.294573
2000,13.553754,14.955531,11.169088,9.767312,1.401776
2001,13.510554,14.990011,11.414204,9.934746,1.479458
2002,13.599559,15.117994,11.876423,10.357989,1.518435
2003,13.835156,15.586102,13.001072,11.250126,1.750946
2004,13.971241,15.829917,13.754126,11.895449,1.858676
2005,14.042348,16.106227,14.629190,12.565311,2.063880
2006,13.995832,16.219973,15.638506,13.414364,2.224141
2007,14.125897,16.277388,16.357344,14.205853,2.151491
2008,13.763221,15.871365,17.249379,15.141235,2.108144
2009,12.901839,14.617473,17.617117,15.901482,1.715635
2010,13.345868,15.164396,18.928724,17.110196,1.818528
2011,13.200663,14.973979,20.194480,18.421165,1.773315
2012,13.051850,14.698881,20.850305,19.203274,1.647031
2013,13.111663,14.530985,21.075895,19.656572,1.419323
2014,12.917728,14.281087,21.412552,20.049194,1.363358
2015,12.803829,13.970148,21.444105,20.277786,1.166319
2016,12.661176,13.838715,21.582674,20.405136,1.177539
2017,12.642314,13.821597,22.137678,20.958394,1.179284
2018,12.715199,13.964068,22.768135,21.519266,1.248869
2019,12.378992,13.663412,23.474507,22.190088,1.284420
2020,11.286841,12.600209,22.985845,21.672477,1.313368
2021,11.898100,13.383674,24.200015,22.714441,1.485574
2022,11.817113,13.449014,24.456640,22.824739,1.631901
