"Year","OECD_production","OECD_consumption","Non-OECD_production","Non-OECD_consumption","transfers"
1990,12.063386,14.800749,10.143730,7.406367,2.737363
1991,12.050059,14.624040,10.649500,8.075518,2.573982
1992,12.118658,13.936526,9.905428,8.087560,1.817868
1993,12.191517,13.876605,10.061791,8.376703,1.685089
1994,12.381240,13.903910,10.001333,8.478663,1.522670
1995,12.543299,14.006555,10.295347,8.832090,1.463256
1996,12.949842,14.334947,10.538596,9.153491,1.385105
1997,13.034769,14.271630,10.562112,9.325250,1.236862
1998,13.028859,14.300786,10.436268,9.164341,1.271927
1999,13.160137,14.493275,10.799330,9.466192,1.333138
2000,13.493894,14.933843,11.176166,9.736217,1.439949
2001,13.446872,14.971058,11.442338,9.918152,1.524186
2002,13.536897,15.114722,11.946908,10.369083,1.577825
2003,13.775207,15.588910,13.044415,11.230712,1.813703
2004,13.915120,15.846810,13.817204,11.885514,1.931690
2005,13.970699,16.114762,14.701235,12.557172,2.144063
2006,13.913421,16.229192,15.684699,13.368927,2.315771
2007,14.063891,16.306677,16.390494,14.147707,2.242786
2008,13.699728,15.899824,17.324555,15.124460,2.200096
2009,12.829941,14.635812,17.717230,15.911359,1.805871
2010,13.267427,15.191685,19.016134,17.091877,1.924257
2011,13.114610,14.991019,20.263459,18.387051,1.876408
2012,12.957415,14.721990,20.953948,19.189373,1.764575
2013,13.007917,14.549666,21.200229,19.658481,1.541749
2014,12.810625,14.319285,21.649445,20.140785,1.508660
2015,12.691812,14.003343,21.708359,20.396829,1.311530
2016,12.553924,13.868118,21.799488,20.485294,1.314195
2017,12.541834,13.841327,22.324398,21.024906,1.299492
2018,12.618576,13.975072,22.937240,21.580744,1.356496
2019,12.268146,13.656089,23.564855,22.176911,1.387944
2020,11.145101,12.631255,23.180476,21.694322,1.486154
