"Year","Coal","Natural gas","Hydro","Wind","Solar"
2015,-0.898885,16.769281,-13.124514,-0.382997,0.751001
2016,-6.475954,15.135754,-2.665801,2.816996,-0.831002
2017,-3.179631,13.526733,-6.227902,0.042333,2.259820
2018,-3.952352,-11.264932,12.372285,-0.008523,-1.751455
2019,-9.269619,12.664848,-2.338947,2.477592,1.054418
2020,-5.912409,-7.377257,1.361791,-1.426202,1.231243
2021,0.879089,10.097927,-2.032542,2.115401,0.081658
2022,7.927339,-2.504498,-17.015309,-0.419296,3.041335
2023,-9.425973,-21.527997,11.574900,3.015884,2.561786
2024,-0.918052,-7.598264,14.343922,-1.302993,5.404792
