"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1990,0.438208,7.748025,2085231.654800,57031454
1991,0.437742,7.526578,2117311.850200,57075393
1992,0.437937,7.563839,2134976.064500,57124990
1993,0.430268,7.447906,2116768.865400,57170764
1994,0.424507,7.431056,2162301.063700,57420138
1995,0.448596,7.802916,2224723.165300,57403344
1996,0.442843,7.834843,2252905.620200,57162092
1997,0.448571,7.911517,2294138.574800,57189274
1998,0.460824,7.927417,2335676.594900,57215194
1999,0.465508,7.973601,2373648.334900,57240798
2000,0.469598,7.560290,2463537.331900,57272196
2001,0.469679,7.547967,2511610.099600,57305760
2002,0.477136,7.565349,2517988.157400,57420628
2003,0.495094,7.812186,2521478.766000,57739699
2004,0.500687,8.008761,2557374.390500,58176738
2005,0.501365,8.002548,2578289.849800,58519693
2006,0.496075,7.998709,2624457.731400,58754433
2007,0.489794,7.831008,2663485.333600,59108720
2008,0.478132,7.740339,2637862.263000,59561684
2009,0.424032,7.181316,2498558.412300,59904010
2010,0.435672,7.424172,2541366.109900,60164213
2011,0.423897,7.273407,2559342.040300,60367880
2012,0.403444,7.055910,2483050.465000,60531515
2013,0.369461,6.707026,2437335.881300,60653868
2014,0.349389,6.538738,2437225.041900,60664171
2015,0.361244,6.618475,2456194.070900,60575316
2016,0.358133,6.604337,2487964.025400,60478107
2017,0.352666,6.651453,2529459.759100,60390318
2018,0.349048,6.695214,2552877.774100,60277499
2019,0.339638,6.623829,2565648.134900,60130136
2020,0.302600,5.988321,2334081.227600,59912769
2021,0.335930,6.426510,2489152.687400,59729350
2022,0.340115,6.319674,2545755.905900,59619115
2023,0.312291,6.050356,2588097.398500,59499453
2024,0.301930,6.106635,2620447.818400,59342867
