"Year","Heat plants","Pulp, paper and print","Manufacturing industries and construction: Other","Cars","Heavy duty trucks and buses","Residential: Stationary combustion","All other Transport","All others"
1990,0.013974,1.969878,0.461564,0,0,1.794320,0,0.248777
1991,0.013974,2.059553,0.456576,0,0,1.615389,0,0.248880
1992,0.018363,1.828109,0.438526,0,0,1.584290,0,0.245901
1993,0.018192,1.839640,0.493653,0,0,1.810992,0,0.266360
1994,0.013623,1.997272,0.503842,0,0,1.933123,0,0.311710
1995,0.019106,2.098196,0.511726,0,0,1.884082,0,0.340911
1996,0.026083,1.928188,0.583572,0,0,2.006714,0,0.318849
1997,0.026822,2.011400,0.637675,0,0,2.089663,0,0.270006
1998,0.042512,1.891535,0.437551,0,0,1.988143,0,0.317867
1999,0.041326,1.945450,0.487599,0,0,2.032840,0,0.347520
2000,0.049315,1.899102,0.347282,0,0,2.091863,0,0.325014
2001,0.100127,2.135362,0.334278,0,0,2.184100,0,0.358045
2002,0.119115,1.935289,0.337703,0,0,2.492337,0,0.313833
2003,0.137494,1.991977,0.320762,0,0,2.477422,0,0.401493
2004,0.170789,1.848742,0.346665,0.000814,0.002506,2.330035,0.001014,0.408972
2005,0.187374,1.902811,0.328188,0.001787,0.004771,2.342308,0.001907,0.480626
2006,0.215847,1.969475,0.323767,0.004120,0.009049,2.385739,0.003755,0.446991
2007,0.221474,1.998364,0.357757,0.026243,0.046900,2.325736,0.020098,0.596302
2008,0.264411,2.149292,0.291203,0.076645,0.118045,2.319413,0.053220,0.569157
2009,0.315336,1.609735,0.257280,0.098498,0.131294,2.364413,0.062661,0.417856
2010,0.697945,2.142166,0.299140,0.134389,0.147286,2.656718,0.074153,0.519622
2011,0.491297,2.195717,0.336549,0.142740,0.140406,2.341665,0.070025,0.535364
2012,0.542075,1.433519,0.338856,0.170598,0.156676,2.429384,0.079279,0.519979
2013,0.579143,1.159605,0.339276,0.172095,0.145258,1.949367,0.074711,0.579276
2014,0.591382,0.283641,0.318735,0.173133,0.144583,1.683293,0.073468,0.426209
2015,0.684627,0.294488,0.361973,0.193703,0.177493,1.793414,0.079801,0.448556
2016,0.779335,0.268538,0.323323,0.432005,0.340931,1.716809,0.167272,0.373940
2017,0.788134,0.387789,0.307413,0.650045,0.545808,1.832985,0.268462,0.368853
2018,0.850508,0.399486,0.336632,0.492164,0.425181,1.791762,0.197185,0.389610
2019,0.943717,0.423758,0.368654,0.603833,0.545362,1.637541,0.250192,0.364437
2020,0.803595,0.422505,0.375323,0.495736,0.476864,1.785173,0.222340,0.362388
2021,1.097543,0.481614,0.389310,0.479797,0.425609,1.985121,0.206522,0.309703
2022,1.122890,0.386572,0.421492,0.421545,0.446337,2.110213,0.207685,0.322499
2023,1.257138,0.325472,0.652140,0.501115,0.390665,1.964681,0.227498,0.401044
2024,1.153174,0.369163,0.628843,0.476640,0.480711,1.925746,0.328435,0.464840
