"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-38.611885,26.854978,0.101687,-2.758647,-0.067664,1.214164
1991,-38.611885,25.822346,0.102024,-2.756977,-0.067681,1.216954
1992,-38.611885,26.044810,0.102361,-2.755307,-0.067698,1.219745
1993,-38.611885,24.555904,0.102697,-2.753638,-0.067715,1.222535
1994,-38.611885,25.982058,0.103034,-2.751968,-0.067732,1.225325
1995,-37.911607,22.914332,0.115378,-2.875005,-0.072972,1.228115
1996,-37.916703,26.209313,0.199333,-2.271684,-0.079801,1.227243
1997,-38.826098,23.685643,0.139038,-1.713035,-0.094299,1.228945
1998,-39.998787,23.008507,0.194380,-0.944140,-0.105595,1.240736
1999,-42.266542,19.403219,0.251890,0.000217,-0.117388,1.235070
2000,-44.682479,23.418965,0.271979,0.523942,-0.126889,1.229403
2001,-46.555062,21.211951,0.266390,0.065604,-0.127941,1.225969
2002,-47.676003,21.460351,0.263027,-0.183308,-0.128186,1.225969
2003,-48.263176,23.342766,0.210285,-0.570155,-0.128446,1.225969
2004,-48.546499,24.045131,0.179074,-1.271152,-0.129431,1.224767
2005,-47.994277,22.509252,0.071487,-1.843994,-0.134270,1.223565
2006,-47.701954,26.946087,0.051361,-2.054319,-0.142166,1.225797
2007,-47.987775,25.691801,0.125898,-2.368870,-0.146777,1.228030
2008,-48.678517,21.841060,0.091208,-3.314700,-0.153079,1.230262
2009,-49.266607,24.224224,0.004982,-4.329577,-0.158973,1.234555
2010,-49.708985,22.868636,0.071193,-4.680626,-0.162285,1.237989
2011,-49.716514,24.232091,-0.029623,-4.729349,-0.171210,1.237989
2012,-49.092862,24.849945,-0.264007,-5.276890,-0.177976,1.242282
2013,-48.524310,27.251223,-0.380803,-4.870629,-0.186777,1.242282
2014,-47.611853,28.257695,-0.566288,-4.424790,-0.197737,1.242282
2015,-46.430960,31.124604,-0.917926,-4.913347,-0.208135,1.242282
2016,-46.220439,32.738457,-1.094634,-5.278657,-0.212743,1.242282
2017,-46.012060,31.489109,-1.183642,-4.979521,-0.222449,1.240565
2018,-45.878347,36.773971,-1.406121,-5.245130,-0.231176,1.238847
2019,-45.673977,39.008493,-1.436341,-5.144762,-0.239088,1.238847
2020,-46.349259,30.687135,-1.280420,-3.986324,-0.248365,1.247090
2021,-46.349259,41.656701,-1.188795,-3.817828,-0.245444,1.264776
2022,-46.349259,37.336218,-1.141983,-3.974980,-0.239585,1.242110
2023,-46.349259,33.646147,-1.027934,-3.857871,-0.234370,1.242625
2024,-46.349259,31.027186,-1.012605,-3.928929,-0.229527,1.243140
