"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-15.266335,8.766080,-0.906761,-0.273461,-0.944765,
1991,-15.282786,7.400911,-0.907206,-0.267860,-0.926994,
1992,-15.403863,6.721617,-0.879060,-0.263756,-0.912773,
1993,-15.525132,6.867167,-0.850546,-0.257233,-0.892585,
1994,-15.666223,7.974922,-0.821960,-0.240241,-0.835206,
1995,-15.814322,8.680282,-0.793518,-0.198415,-0.690914,
1996,-15.945905,8.865424,-0.765261,-0.189961,-0.661497,
1997,-16.284859,9.646939,-0.737673,-0.187003,-0.655627,
1998,-16.504807,9.047738,-0.709609,-0.178074,-0.621630,
1999,-16.657940,9.480959,-0.681454,-0.171510,-0.599490,
2000,-16.961187,10.313252,-0.653038,-0.108711,-0.384651,
2001,-17.026908,10.390802,-0.624498,-0.100999,-0.355206,
2002,-17.161166,10.459558,-0.595865,-0.097909,-0.341630,
2003,-17.256920,11.072380,-0.567406,-0.098605,-0.341317,
2004,-17.402044,12.044829,-0.538774,-0.095718,-0.331327,
2005,-17.539103,16.517454,-0.509987,-0.091387,-0.315874,
2006,-17.704819,13.676754,-0.481526,-0.068418,-0.222579,
2007,-17.723287,13.968078,-0.452677,-0.065758,-0.210661,
2008,-17.911732,15.352980,-0.424015,-0.060809,-0.192352,
2009,-18.046908,14.948432,-0.395216,-0.046219,-0.146774,
2010,-18.183364,16.064242,-0.366733,-0.044641,-0.140933,
2011,-18.294740,15.579092,-0.337959,-0.043441,-0.133385,
2012,-18.459838,13.645726,-0.309251,-0.044016,-0.132462,
2013,-18.361334,13.025471,-0.280436,-0.045057,-0.134606,
2014,-18.430459,15.561984,-0.251637,-0.047075,-0.138063,
2015,-18.469738,15.222386,-0.222928,-0.050761,-0.146654,
2016,-18.446994,15.472787,-0.194075,-0.052114,-0.149336,
2017,-18.392429,15.488451,-0.165107,-0.049960,-0.135432,
2018,-18.403596,16.215963,-0.136072,-0.049373,-0.131813,
2019,-18.385119,15.182679,-0.106959,-0.047943,-0.124556,
2020,-18.398957,12.526884,-0.077803,-0.047280,-0.122014,
2021,-18.414566,12.800846,-0.048623,-0.046599,-0.118440,
2022,-18.436792,12.841201,-0.019423,-0.046293,-0.117339,
2023,-18.300494,12.045339,0.009796,-0.045995,-0.116624,
2024,-18.293758,14.222668,0.039074,-0.048240,-0.121466,
