"Year","Combined heat and power generation","Heat plants","Pulp, paper and print","Manufacturing industries and construction: Other","Cars","Residential: Stationary combustion","All other Manufacturing industries and construction","All others"
1990,0.072100,0,0.044606,0.123415,0,0.535326,0.197032,0.047328
1991,0.072964,0,0.037649,0.101804,0,0.901266,0.174895,0.039697
1992,0.078081,0,0.032804,0.082786,0,0.723760,0.155371,0.033152
1993,0.082173,0,0.029803,0.066210,0,1.039451,0.138228,0.027661
1994,0.072886,0,0.028363,0.052006,0,1.116963,0.123537,0.023191
1995,0.067398,0,0.028200,0.040106,0,1.180294,0.111013,0.019711
1996,0.065515,0,0.029031,0.030440,0,1.527678,0.100487,0.017271
1997,0.072153,0,0.030573,0.022938,0,1.330423,0.091791,0.016155
1998,0.080679,0,0.032542,0.017533,0,1.321137,0.084756,0.015985
1999,0.079010,0,0.034655,0.014154,0,1.357736,0.079216,0.016699
2000,0.095334,0.000079,1.131702,0.014131,0,1.501371,0.082152,0.015346
2001,0.060119,0.000000,1.200424,0.020830,0,1.703773,0.071538,0.022817
2002,0.072925,0.000000,1.235287,0.041850,0,1.657370,0.088470,0.021820
2003,0.074916,0.000079,1.258529,0.024070,0,1.951306,0.071142,0.024535
2004,0.087851,0.001360,2.140478,0.029716,0,2.357180,0.060925,0.027541
2005,0.094195,0.006787,1.812895,0.070018,0,3.444357,0.076176,0.038042
2006,0.106185,0.010937,2.065026,0.079770,0,3.308529,0.082009,0.040270
2007,0.135018,0.028377,2.193807,0.169980,0.070233,3.674606,0.102738,0.182539
2008,0.136855,0.034351,2.165516,0.168292,0.052758,3.244781,0.126571,0.239068
2009,0.234489,0.078512,2.314197,0.198690,0.084030,3.044751,0.134320,0.254522
2010,0.403699,0.161536,2.349860,0.197000,0.117328,3.556638,0.170951,0.312543
2011,0.490847,0.200347,2.385523,0.261913,0.127433,3.343748,0.197626,0.425961
2012,0.765112,0.275097,2.324276,0.361768,0.134745,3.651476,0.248171,0.455482
2013,1.025446,0.371575,2.148386,0.316664,0.148746,3.365975,0.224891,0.538217
2014,1.339401,0.355558,2.065669,0.334579,0.177008,1.865111,0.319994,0.513630
2015,1.330543,0.398175,2.092312,0.289570,0.200054,2.810302,0.395535,0.534071
2016,1.112840,0.461150,1.723154,0.320909,0.226996,3.123801,0.351920,0.581690
2017,1.218947,0.395071,1.740298,0.358779,0.255621,2.908192,0.411549,0.555902
2018,1.252812,0.344778,1.640248,0.342421,0.267652,2.263226,0.434649,0.640933
2019,1.191376,0.305073,1.611612,0.301463,0.262954,2.456990,0.476025,0.516356
2020,1.172362,0.276048,1.698366,0.292356,0.316219,2.483539,0.478052,0.444700
2021,1.207787,0.365029,1.873359,0.270403,0.295922,2.468004,0.466425,0.500201
2022,1.122737,0.346168,1.939143,0.293735,0.310405,2.317023,0.479285,0.455918
2023,1.038271,0.380167,1.452775,0.295411,0.290641,1.972128,0.370195,0.419651
2024,0.972777,0.377636,1.476415,0.318385,0.309200,1.718745,0.442360,0.406598
