"Year","Ecuador","World"
1950,0.404174,2.378734
1951,0.417474,2.515504
1952,0.418150,2.502896
1953,0.415099,2.524970
1954,0.419847,2.527923
1955,0.444023,2.716614
1956,0.416162,2.835461
1957,0.377625,2.869636
1958,0.354272,2.891376
1959,0.306831,2.985590
1960,0.291319,3.112931
1961,0.295972,3.071906
1962,0.252882,3.120741
1963,0.232379,3.215595
1964,0.248829,3.315825
1965,0.242496,3.391959
1966,0.204081,3.484865
1967,0.167685,3.523155
1968,0.136246,3.640223
1969,0.106624,3.802135
1970,0.103511,4.032588
1971,0.100504,4.112597
1972,1.815066,4.219747
1973,4.704823,4.355556
1974,3.872886,4.253289
1975,3.425769,4.173319
1976,3.898454,4.310191
1977,3.695757,4.352449
1978,3.978058,4.432504
1979,4.098060,4.465701
1980,3.813464,4.364099
1981,3.835726,4.168842
1982,3.740782,4.060496
1983,4.108258,4.023942
1984,4.350177,4.068703
1985,4.626170,4.137420
1986,4.702685,4.122175
1987,2.714609,4.179654
1988,4.662953,4.262697
1989,4.227818,4.241189
1990,4.224377,4.266701
1991,4.348423,4.282473
1992,4.542056,4.090168
1993,4.777973,4.068620
1994,5.146472,4.047994
1995,5.144665,4.083544
1996,5.033858,4.148108
1997,4.974881,4.114970
1998,4.738386,4.044522
1999,4.628465,4.079117
2000,4.831420,4.133621
2001,4.818123,4.107635
2002,4.555093,4.144280
2003,4.803228,4.307030
2004,5.949436,4.399256
2005,5.879439,4.493561
2006,5.823265,4.585831
2007,5.470021,4.661509
2008,5.319715,4.682571
2009,5.036940,4.545518
2010,4.957251,4.744937
2011,4.996841,4.848876
2012,4.992880,4.854014
2013,5.134835,4.837742
2014,5.343191,4.804597
2015,5.136386,4.739116
2016,5.131546,4.682487
2017,4.879075,4.705259
2018,4.661003,4.752195
2019,4.694347,4.747814
2020,4.195727,4.457744
2021,4.099938,4.634748
2022,4.074624,4.678452
2023,3.991419,4.707772
2024,3.968137,4.729075
