"Year","Ecuador","World"
1950,0.210380,2.372741
1951,0.194716,2.509281
1952,0.241150,2.496828
1953,0.215354,2.519009
1954,0.246031,2.522133
1955,0.297718,2.710743
1956,0.313660,2.829705
1957,0.266363,2.864250
1958,0.302730,2.886446
1959,0.287905,2.981084
1960,0.381447,3.109071
1961,0.346047,3.068418
1962,0.319740,3.117449
1963,0.356417,3.212604
1964,0.413306,3.313059
1965,0.426061,3.389338
1966,0.439743,3.482441
1967,0.457524,3.521091
1968,0.534299,3.638560
1969,0.598441,3.800910
1970,0.693141,4.031813
1971,0.664381,4.112250
1972,0.702371,4.219880
1973,0.782073,4.358162
1974,0.880256,4.257539
1975,1.035059,4.190445
1976,1.109010,4.342568
1977,0.995409,4.387958
1978,1.349255,4.445411
1979,1.532405,4.491730
1980,1.647913,4.385349
1981,1.993726,4.204303
1982,2.243789,4.095304
1983,2.217245,4.047822
1984,2.348393,4.114002
1985,2.091207,4.177916
1986,1.601044,4.164586
1987,1.544010,4.215461
1988,1.722062,4.303169
1989,1.973883,4.285587
1990,1.574936,4.275440
1991,1.511955,4.288762
1992,2.012024,4.101485
1993,2.163738,4.079975
1994,1.260775,4.061836
1995,2.032441,4.097368
1996,2.148571,4.164388
1997,1.620716,4.131378
1998,1.892709,4.059213
1999,1.770557,4.096031
2000,1.657410,4.148800
2001,1.822258,4.125716
2002,1.899456,4.162733
2003,2.035276,4.327484
2004,2.161728,4.421495
2005,2.221466,4.515645
2006,2.119325,4.611727
2007,2.405247,4.688505
2008,2.091112,4.708763
2009,2.278989,4.572416
2010,2.420108,4.774950
2011,2.511130,4.878259
2012,2.415982,4.887112
2013,2.522102,4.868795
2014,2.740404,4.830362
2015,2.548530,4.767311
2016,2.394042,4.713752
2017,2.346190,4.735624
2018,2.258454,4.780249
2019,2.309872,4.778430
2020,1.871066,4.479880
2021,2.146578,4.676995
2022,2.251099,4.676281
2023,2.373377,4.697341
