"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-13.183267,6.675266,-0.000146,-0.002967,,
1991,-13.307056,5.104795,-0.000150,-0.002989,,
1992,-13.430375,4.900975,-0.000146,-0.002969,,
1993,-13.554900,4.768215,-0.000152,-0.003063,,
1994,-13.678696,5.083122,-0.000153,-0.003123,,
1995,-13.802674,4.795011,-0.000155,-0.003161,,
1996,-13.927174,5.121150,-0.000159,-0.003245,,
1997,-14.060408,5.729671,-0.000164,-0.003253,,
1998,-14.193510,5.820245,-0.000168,-0.003315,,
1999,-14.327614,5.775337,-0.000168,-0.003437,,
2000,-14.460076,6.114646,-0.000177,-0.003485,,
2001,-14.593129,6.175414,-0.000180,-0.003541,,
2002,-14.725964,6.149653,-0.000192,-0.003636,,
2003,-14.859433,6.502244,-0.000196,-0.003717,-0.000000,
2004,-14.995937,6.779964,-0.000293,-0.004107,-0.000106,
2005,-15.134736,6.804216,-0.000375,-0.006500,-0.000305,
2006,-15.273608,7.036910,-0.000450,-0.008749,-0.000514,
2007,-15.227866,7.505966,-0.000560,-0.011910,-0.000785,
2008,-15.183633,7.559267,-0.000752,-0.013290,-0.001060,
2009,-15.145408,7.192167,-0.000994,-0.016859,-0.001462,
2010,-15.116441,7.346674,-0.001375,-0.020885,-0.002002,
2011,-15.079138,8.326779,-0.001583,-0.025767,-0.002463,
2012,-15.059700,8.448458,-0.002171,-0.029839,-0.003341,
2013,-15.038534,8.411187,-0.002631,-0.035569,-0.004418,
2014,-15.014138,8.687104,-0.003092,-0.042341,-0.005795,
2015,-14.974102,8.997537,-0.003306,-0.047488,-0.007783,
2016,-14.932398,9.108778,-0.003523,-0.048443,-0.007783,
2017,-15.031173,9.431128,-0.003720,-0.051569,-0.007783,
2018,-15.126644,9.609107,-0.003773,-0.052803,-0.007783,
2019,-15.226806,9.442132,-0.003788,-0.052975,-0.007783,
2020,-15.362646,9.111866,-0.003805,-0.053057,-0.007783,
2021,-15.210859,9.296866,-0.003824,-0.053231,-0.007783,
2022,-15.118664,9.505826,-0.003820,-0.053232,-0.007783,
2023,-15.147919,9.325319,-0.003919,-0.053912,-0.007783,
2024,-15.077304,10.280632,-0.003900,-0.054245,-0.007676,
