"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1990,0.022885,0.362952,84816.688049,4835065
1991,0.016999,0.301642,72379.108652,4825157
1992,0.016379,0.289885,67130.266640,4782233
1993,0.016811,0.302422,61759.967514,4729743
1994,0.016055,0.305508,65403.815374,4675514
1995,0.016814,0.316259,69742.704223,4619360
1996,0.017338,0.339268,73910.305850,4562299
1997,0.018569,0.336091,78442.504089,4504621
1998,0.019040,0.355433,80172.814614,4445667
1999,0.020082,0.367612,79470.142308,4385822
2000,0.019653,0.347579,81771.200155,4326105
2001,0.020776,0.365457,84250.911008,4301074
2002,0.021916,0.365840,89071.809193,4305782
2003,0.023226,0.382751,93993.871757,4306686
2004,0.022853,0.397948,97893.992665,4310056
2005,0.023296,0.393426,102115.575510,4313946
2006,0.023496,0.388619,107158.406850,4315800
2007,0.024802,0.390437,112422.897030,4315954
2008,0.023516,0.388312,114553.808270,4314631
2009,0.021752,0.383360,106212.345240,4310530
2010,0.020978,0.389751,104883.946820,4301145
2011,0.020615,0.340014,104794.539260,4280824
2012,0.019050,0.315341,102409.722620,4259236
2013,0.018401,0.345863,102037.856190,4242398
2014,0.017650,0.345631,101684.858450,4219479
2015,0.017794,0.327672,104253.101910,4183729.000000
2016,0.018079,0.341030,107935.772500,4136444.000000
2017,0.018713,0.341220,111620.797780,4079200
2018,0.017695,0.353378,114857.812660,4024868
2019,0.017820,0.344927,118857.098640,3986334
2020,0.016870,0.328962,109227.765710,3953958
2021,0.017403,0.353923,120410.458270,3924610
2022,0.017585,0.335402,123661.451730,3907027
2023,0.018468,0.378448,128607.958190,3896023
2024,0.018465,0.371317,132466.263470,3875325
