"Year","Cars","Commercial/institutional: Stationary combustion","Residential: Stationary combustion","All others"
1990,0,0.002884,0.001923,0.001565
1991,0,0.001995,0.001330,0.001640
1992,0,0.002877,0.001918,0.001737
1993,0,0.002612,0.001742,0.001736
1994,0,0.003297,0.002198,0.001884
1995,0,0.002434,0.001623,0.001706
1996,0,0.002258,0.001505,0.001821
1997,0.000065,0.002743,0.001829,0.001853
1998,0.000053,0.003069,0.002046,0.002006
1999,0.000048,0.003368,0.002245,0.002160
2000,0.000058,0.005908,0.003939,0.002181
2001,0.000059,0.003615,0.002410,0.002097
2002,0.000049,0.003780,0.002520,0.002010
2003,0.000058,0.005000,0.003333,0.002084
2004,0.000075,0.005468,0.003645,0.002175
2005,0.000128,0.006053,0.004036,0.002093
2006,0.000152,0.006914,0.004609,0.002265
2007,0.000255,0.009212,0.006141,0.002438
2008,0.000215,0.009298,0.006199,0.002515
2009,0.000128,0.011421,0.007614,0.002378
2010,0.000150,0.012293,0.008196,0.002241
2011,0.000149,0.013366,0.008911,0.002268
2012,0.000176,0.013631,0.009087,0.002300
2013,0.000168,0.011609,0.007761,0.002475
2014,0.000279,0.012744,0.008911,0.000562
2015,0.000539,0.014304,0.009973,0.000506
2016,0.000822,0.013810,0.009619,0.000616
2017,0.001205,0.012936,0.009075,0.000756
2018,0.001530,0.015384,0.010737,0.000731
2019,0.001582,0.014124,0.009985,0.000698
2020,0.001481,0.011250,0.008088,0.000588
2021,0.001553,0.010592,0.007643,0.000912
2022,0.001505,0.012719,0.008949,0.001074
2023,0.001769,0.012155,0.008575,0.000900
2024,0.001592,0.013740,0.009565,0.001398
