"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,0.075279,,
1991,0.088443,,
1992,0.087669,,
1993,0.085563,,
1994,0.078279,,
1995,0.080225,,
1996,0.081493,,
1997,0.084989,,
1998,0.084750,,
1999,0.088895,,
2000,0.089696,,
2001,0.086365,,
2002,0.082481,,
2003,0.082369,,
2004,0.081298,,
2005,0.080884,,
2006,0.078354,,
2007,0.082474,,
2008,0.086907,,
2009,0.081063,,
2010,0.076912,,
2011,0.076137,,
2012,0.079170,,
2013,0.078896,,
2014,0.073083,,
2015,0.061214,,
2016,0.059844,,
2017,0.060259,,
2018,0.058234,,
2019,0.056708,,
2020,0.052197,,
2021,0.055450,,
2022,0.049723,,
2023,0.053463,,
2024,0.042468,,
