"Year","Combined heat and power generation","Manufacturing industries and construction: Other","Cars","Heavy duty trucks and buses","Residential: Stationary combustion","All others"
1990,0.090363,0,0,0,0.072240,0
1991,0.094545,0,0,0,0.072240,0
1992,0.095200,0,0,0,0.072240,0
1993,0.090169,0,0,0,0.072240,0
1994,0.087806,0,0,0,0.072240,0
1995,0.083593,0,0,0,0.072240,0
1996,0.064587,0,0,0,0.072240,0
1997,0.075719,0,0,0,0.072240,0
1998,0.073569,0,0,0,0.072240,0.004430
1999,0.083763,0,0,0,0.072240,0.004487
2000,0.081979,0,0,0,0.070813,0.008170
2001,0.081379,0,0,0,0.076463,0.017389
2002,0.084088,0,0,0,0.070656,0.022707
2003,0.086281,0,0,0,0.072155,0.023980
2004,0.095622,0.000035,0.000389,0.001054,0.076896,0.029705
2005,0.091036,0.102849,0.000381,0.001121,0.073579,0.030044
2006,0.096250,0.096019,0.000381,0.001030,0.073798,0.033927
2007,0.099323,0.107485,0.040847,0.090030,0.065873,0.041854
2008,0.103372,0.113246,0.041350,0.088517,0.072316,0.040961
2009,0.108084,0.088375,0.042280,0.078362,0.080229,0.039663
2010,0.106241,0.100457,0.039536,0.081478,0.083117,0.043400
2011,0.118790,0.092464,0.056318,0.078369,0.065374,0.040139
2012,0.121378,0.085366,0.050263,0.088638,0.083887,0.043378
2013,0.128547,0.090582,0.053573,0.104326,0.092477,0.043978
2014,0.187382,0.108463,0.075677,0.125148,0.102441,0.042629
2015,0.218761,0.098456,0.098937,0.135309,0.109181,0.041731
2016,0.229343,0.168679,0.108012,0.142410,0.122410,0.044831
2017,0.285451,0.152858,0.122940,0.193259,0.111613,0.045735
2018,0.345702,0.169250,0.127421,0.215963,0.116637,0.045229
2019,0.300973,0.375615,0.146938,0.221085,0.075174,0.048119
2020,0.371240,0.535718,0.147578,0.249218,0.076806,0.060350
2021,0.339519,0.638633,0.158292,0.230093,0.078578,0.045238
2022,0.282230,0.614910,0.163470,0.190714,0.104902,0.056931
2023,0.283734,0.589982,0.172063,0.164964,0.131646,0.051343
2024,0.331641,0.745344,0.175622,0.154906,0.156812,0.039356
