"Year","Public electricity and heat production","Residential: Stationary combustion","Manufacturing industries and construction","All others"
1990,1.673506,1.401929,0.595094,0.445696
1991,1.878462,1.546139,0.583436,0.453044
1992,2.055838,1.577443,0.582510,0.464490
1993,2.172897,1.657051,0.587958,0.443411
1994,2.282299,1.595149,0.483243,0.438544
1995,2.526066,1.581133,0.466820,0.446199
1996,2.815259,1.627917,0.469114,0.441005
1997,2.949012,1.643471,0.464468,0.480039
1998,3.069553,1.489923,0.469956,0.474269
1999,3.294438,1.502978,0.466658,0.513926
2000,3.324196,1.767465,0.525882,0.430968
2001,3.660768,2.028522,0.612318,0.398838
2002,4.119621,2.087546,0.523240,0.416269
2003,4.756784,2.372027,0.503508,0.502405
2004,5.300042,2.514685,0.546111,0.442673
2005,5.538685,2.921785,0.563923,0.454115
2006,5.486322,3.222165,0.541058,0.527168
2007,5.710145,3.828433,0.652407,0.505537
2008,5.765312,3.734823,0.857010,0.528487
2009,6.109968,3.725300,0.834660,0.516007
2010,7.897602,3.984492,0.868594,0.575352
2011,7.647486,3.595010,0.905167,0.857022
2012,8.056583,3.479613,0.732495,1.081151
2013,8.210606,3.595733,0.533383,1.089687
2014,8.360641,3.510483,0.467718,1.113058
2015,8.439909,4.072921,0.550602,1.122420
2016,9.158076,4.333935,0.577170,1.205001
2017,10.745355,4.163137,0.693395,1.208995
2018,10.684919,3.961301,0.778826,1.231872
2019,10.942532,3.691180,0.868627,1.274773
2020,11.307421,3.560987,0.947748,1.354320
2021,13.831151,3.726396,1.071822,1.502542
2022,12.110205,3.135905,1.133416,1.380291
2023,11.685559,3.369663,1.240886,1.350483
2024,12.641617,3.134915,1.323070,1.407389
