"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1990,0.053477,0.727060,200663.089590,5141025
1991,0.064105,0.838273,203459.598570,5154345
1992,0.058327,0.785292,207441.315800,5171367
1993,0.060574,0.832693,207463.486490,5188637
1994,0.064673,0.893001,218526.399590,5206190
1995,0.061653,0.877031,225142.476790,5233360
1996,0.074900,1.043600,231671.834000,5263068
1997,0.065438,0.946793,239226.397980,5285035
1998,0.061238,0.913289,244532.819030,5304262
1999,0.058653,0.885776,251741.701000,5321810
2000,0.054307,0.851470,261174.116640,5339658
2001,0.055897,0.853979,263323.978450,5358828
2002,0.055554,0.852320,264551.978510,5375959
2003,0.060645,0.918837,265583.886160,5390620
2004,0.055100,0.869946,272670.246250,5404598
2005,0.051535,0.841021,279041.572710,5419555
2006,0.059500,0.919733,289960.491540,5437420
2007,0.054709,0.876244,292596.924550,5461607
2008,0.051256,0.845540,291098.779760,5493764
2009,0.048851,0.794905,276815.879590,5523173
2010,0.049190,0.849516,281995.079400,5547863
2011,0.044237,0.795509,285764.726810,5570849
2012,0.039861,0.738877,286411.983870,5591917
2013,0.041763,0.762128,289085.184270,5615333
2014,0.037571,0.732829,293766.611320,5643794
2015,0.035111,0.716309,300648.362350,5683701
2016,0.036917,0.725765,310407.278180,5728201
2017,0.034665,0.730743,319166.153760,5765168
2018,0.034609,0.720422,325516.083320,5793824
2019,0.030950,0.780487,332399.655080,5814618
2020,0.028300,0.691798,325545.159510,5831530
2021,0.029604,0.690659,340824.402840,5856776
2022,0.029094,0.699223,348663.411070,5902904
2023,0.028831,0.702712,354590.615000,5948136
2024,0.028369,0.706512,360973.263920,5977412
