"Year","Public electricity and heat production","Non-metallic minerals","Manufacturing industries and construction: Other","Cars","Light duty trucks","Heavy duty trucks and buses","Commercial/institutional: Stationary combustion","All others"
1990,0,0,0.285040,0,0,0,0,0.215872
1991,0,0,0.285040,0,0,0,0,0.194594
1992,0,0,0.265216,0,0,0,0,0.159057
1993,0,0,0.265216,0,0,0,0,0.164062
1994,0,0,0.277984,0,0,0,0,0.153756
1995,0,0,0.277984,0,0,0,0,0.146749
1996,0.015998,0,0.317408,0,0,0,0,0.134398
1997,0.049959,0,0.317520,0,0,0,0,0.125866
1998,0.047993,0,0.409808,0,0,0,0,0.129529
1999,0.052580,0,0.409808,0,0,0,0,0.094936
2000,0.053945,0,0.450240,0,0,0,0,0.093749
2001,0.054873,0,0.511168,0,0,0,0,0.088327
2002,0.043844,0,0.511168,0,0,0,0,0.088434
2003,0.037510,0,0.298704,0,0,0,0.005569,0.270757
2004,0.045591,0,0.393008,0,0,0,0.005515,0.271348
2005,0.057017,0,0.512868,0.000462,0.001053,0.001724,0.006322,0.321606
2006,0.059216,0,0.496668,0.002747,0.001999,0.003207,0.016343,0.350667
2007,0.083592,0,0.439647,0.018177,0.017447,0.027167,0.035181,0.384799
2008,0.106040,0.044971,0.413242,0.072952,0.030266,0.058664,0.061312,0.290858
2009,0.143742,0.058892,0.397787,0.102089,0.043583,0.079411,0.076559,0.305415
2010,0.196520,0.037747,0.468397,0.135874,0.047984,0.085533,0.065064,0.308843
2011,0.251480,0.045624,0.435910,0.145783,0.049829,0.087273,0.099638,0.253783
2012,0.388355,0.052110,0.446973,0.139489,0.038829,0.068268,0.113316,0.207573
2013,0.458443,0.116250,0.460147,0.159286,0.049411,0.088258,0.142458,0.216814
2014,0.507433,0.108697,0.484984,0.174082,0.059049,0.104161,0.158148,0.308370
2015,0.450520,0.132500,0.506787,0.192404,0.065589,0.114689,0.105851,0.331162
2016,0.654317,0.154148,0.498406,0.187154,0.052356,0.104978,0.149509,0.299727
2017,0.780178,0.150844,0.563960,0.231571,0.078102,0.156378,0.133553,0.274506
2018,0.971487,0.154104,0.575696,0.221687,0.074301,0.152360,0.122449,0.298804
2019,0.958161,0.146955,0.542066,0.257293,0.096271,0.195553,0.114900,0.287856
2020,1.069772,0.129258,0.478275,0.248429,0.095309,0.167254,0.122787,0.342281
2021,1.066980,0.182542,0.554988,0.244244,0.104248,0.178238,0.137189,0.192455
2022,1.096841,0.209778,0.536429,0.298404,0.130231,0.233938,0.143806,0.180089
2023,0.948950,0.226608,0.508795,0.370680,0.161994,0.283467,0.155189,0.177339
2024,1.092410,0.225879,0.502768,0.461776,0.185068,0.312304,0.170212,0.201041
