"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1965,0.013717,0.243587,32933.975418,2852401
1966,0.015095,0.272903,33228.106283,2867003
1967,0.016395,0.295810,35150.586246,2882745
1968,0.017802,0.344996,38048.375549,2899643
1969,0.018494,0.346139,40279.477148,2917184
1970,0.019394,0.272894,41151.354046,2937637
1971,0.022476,0.283441,42579.259750,2969397
1972,0.022036,0.299256,45342.573039,3013998
1973,0.022846,0.314530,47483.390033,3062023
1974,0.023293,0.320042,49506.291089,3110099
1975,0.022048,0.299323,52306.686070,3157919
1976,0.022293,0.305558,53036.264668,3205753
1977,0.023569,0.325668,57391.230645,3254662
1978,0.023580,0.338802,61515.782720,3305571
1979,0.027403,0.373631,63406.185969,3351898
1980,0.026272,0.361528,65358.670715,3391387
1981,0.026062,0.352768,67531.987455,3424827
1982,0.025566,0.350235,69074.058548,3451212
1983,0.025729,0.345158,68905.310445,3472903
1984,0.025549,0.341485,71905.703864,3490931
1985,0.026750,0.358336,74124.437109,3505769
1986,0.028550,0.387010,73806.939589,3515669
1987,0.030226,0.391389,77248.624141,3513700
1988,0.029884,0.389516,81279.004881,3498030
1989,0.030061,0.401301,86004.501775,3483314
1990,0.032945,0.424391,93286.096115,3485374
1991,0.033675,0.440862,95086.181634,3504805
1992,0.033496,0.442867,98265.173704,3528367
1993,0.033717,0.452254,100911.071280,3545700
1994,0.034839,0.471368,106719.337620,3559398
1995,0.035853,0.481035,117001.129690,3579482
1996,0.037469,0.507732,125627.884900,3606728
1997,0.038805,0.524629,139465.632280,3640150
1998,0.040708,0.564500,151678.914580,3678667
1999,0.042440,0.595934,167639.390860,3719912
2000,0.045250,0.624056,183396.517640,3768950
2001,0.047608,0.659403,193124.760300,3829018
2002,0.046081,0.652874,204511.842490,3894258
2003,0.045684,0.636677,210667.316630,3958705
2004,0.046167,0.649303,224963.582890,4031954
2005,0.048153,0.677426,237867.452670,4121216.000000
2006,0.047597,0.699460,249714.445570,4234806
2007,0.047657,0.710368,262962.966430,4359834
2008,0.047359,0.706965,251164.871940,4452392
2009,0.042191,0.635802,238354.280730,4499792
2010,0.041792,0.641882,242537.589870,4524585
2011,0.038054,0.612942,245129.161800,4544501
2012,0.038224,0.602887,245000.825610,4564550
2013,0.037279,0.593990,248105.024380,4588832
2014,0.036850,0.592391,269724.151450,4622167
2015,0.038716,0.626087,337630.569740,4665760
2016,0.040367,0.653896,344525.768300,4715788
2017,0.039076,0.656649,375326.420440,4771854
2018,0.039009,0.671308,409218.997250,4834507
2019,0.037323,0.674491,429340.316430,4896019
2020,0.035124,0.633876,454529.603190,4946119
2021,0.037544,0.646006,515794.099080,4986526
2022,0.036711,0.669481,542615.951000,5023109
2023,0.034433,0.650760,569740.065060,5056935
