"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar"
2017,-1.955738,-7.052934,9.063000,-0.122000,0.575000,0.301000
2018,-8.942144,11.819503,-8.606000,-0.535000,1.939000,0.181000
2019,-2.488974,1.252057,-4.083000,0.439000,-0.590000,0.258000
2020,-8.605479,4.427210,4.727000,-2.832000,2.860000,0.316000
2021,-3.941071,5.927151,-4.074000,-5.251000,1.517000,1.032000
2022,-7.660445,6.585930,15.143000,-5.085000,2.159000,0.617000
2023,-2.526347,12.687271,-36.580000,1.705000,1.344000,0.944000
2024,-8.376739,10.707057,-13.735000,-3.261000,6.844000,0.327000
2025,0.897271,6.852929,1.556213,-0.161013,4.788464,0.969620
2026,0.136848,1.045178,-2.580595,-0.417624,0.110773,-0.042766
