"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,122.273085,-94.463602,237.792323,-188.209892,
1991,100.386374,-93.521641,248.271841,-192.773857,
1992,118.936373,-104.356696,251.198487,-194.175278,
1993,126.273913,-105.128140,252.542415,-194.765677,
1994,142.164925,-108.742360,249.476640,-195.619470,
1995,149.002629,-107.773465,253.137628,-195.286957,
1996,133.708517,-108.538071,261.074498,-199.924260,
1997,148.092226,-117.022304,263.528089,-200.967757,
1998,123.464480,-105.085616,265.126429,-200.430986,
1999,165.811444,-119.989419,262.446402,-200.520031,
2000,161.194074,-114.117973,267.465128,-199.876927,
2001,153.053256,-121.459896,265.861088,-202.107609,
2002,182.874558,-133.564242,265.123115,-200.961801,
2003,187.025224,-148.052688,267.699267,-199.582316,
2004,217.293387,-148.099997,270.917546,-199.152162,
2005,207.513722,-141.436738,272.241518,-197.478008,
2006,166.403545,-126.186460,277.919873,-199.778260,
2007,110.656209,-90.548273,276.750842,-198.708854,
2008,38.894574,-54.160849,280.884735,-199.210058,
2009,1.463472,-52.531293,283.931896,-200.319577,
2010,72.786439,-90.758924,277.712452,-201.497661,
2011,54.212679,-75.026590,279.699066,-204.378528,
2012,43.028628,-66.307691,280.955216,-205.727654,
2013,53.275828,-72.000197,279.773837,-206.739343,
2014,49.347025,-75.690475,284.408769,-207.498357,
2015,61.715787,-77.570467,282.170017,-207.495665,
2016,62.279371,-89.670158,288.882082,-210.776708,
2017,55.802007,-88.099680,291.455346,-210.451732,
2018,61.656545,-90.562113,291.165740,-209.720603,
2019,20.678970,-70.957440,293.366373,-210.127765,
2020,38.048914,-81.541877,287.851908,-210.823497,
2021,18.576355,-76.798422,294.956129,-210.424669,
2022,-1.549101,-69.334677,294.435659,-210.695980,
2023,-17.490228,-63.612578,287.007339,-206.236716,
2024,-8.780384,-71.165801,282.097823,-205.094908,
