"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0,0.825622,1.103193,0,0,0
2001,0.000774,0.815836,1.133028,0,0,0
2002,0.003947,0.847104,1.279044,0,0,0
2003,0.004644,0.937927,1.329588,0,0,0
2004,0.005263,1.013601,1.411371,0,0,0
2005,0.006089,1.054509,1.475955,0,0,0
2006,0.011791,1.134928,1.521936,0,0,0
2007,0.005676,1.214647,1.725776,0,0,0
2008,0.014371,1.276875,2.086996,0,0,0
2009,0.011467,1.247370,2.073171,0,0,0.000064
2010,0.027550,1.339457,2.133779,0,0,0.000184
2011,0.018626,1.437620,2.218901,0,0,0.000206
2012,0.057877,1.507136,2.301507,0,0,0.000239
2013,0.074091,1.673750,2.330987,0,0,0.000854
2014,0.082606,1.668812,2.283659,0,0,0.003106
2015,0.071790,1.783657,2.572939,0,0,0.003081
2016,0.077061,1.953809,2.589515,0,0,0.003099
2017,0.089137,1.934819,2.608500,0,0,0.007151
2018,0.080396,1.921613,2.563675,0,0,0.012534
2019,0.082782,1.873651,2.555515,0,0,0.036012
2020,0.079145,1.615772,2.506423,0.014732,0,0.043234
2021,0.073920,1.811857,2.498812,0.095314,0,0.048530
