"Year","OECD_production","OECD_consumption","Non-OECD_production","Non-OECD_consumption","transfers"
1990,12.054068,14.776509,10.137596,7.415156,2.722441
1991,12.042539,14.601806,10.644961,8.085694,2.559267
1992,12.110760,13.912457,9.899116,8.097419,1.801697
1993,12.183705,13.856127,10.057337,8.384915,1.672423
1994,12.379748,13.887980,9.995350,8.487117,1.508232
1995,12.539245,13.991721,10.291940,8.839464,1.452476
1996,12.949724,14.315229,10.531259,9.165755,1.365504
1997,13.036488,14.252087,10.554681,9.339082,1.215599
1998,13.026478,14.282598,10.428078,9.171959,1.256119
1999,13.156538,14.440820,10.586138,9.301856,1.284282
2000,13.488119,14.871669,10.959226,9.575675,1.383551
2001,13.441187,14.869564,11.227936,9.799559,1.428377
2002,13.535758,15.091992,11.703736,10.147503,1.556233
2003,13.775895,15.388025,12.756610,11.144480,1.612130
2004,13.915846,15.739355,13.805082,11.981572,1.823509
2005,13.969335,15.855824,14.688333,12.801843,1.886489
2006,13.915010,16.057543,15.670862,13.528328,2.142534
2007,14.061701,16.169953,16.376635,14.268384,2.108251
2008,13.700106,15.724990,17.300861,15.275978,2.024884
2009,12.820215,14.474171,17.764203,16.110247,1.653956
2010,13.262689,15.020777,18.994191,17.236104,1.758087
2011,13.110112,15.079829,20.246377,18.276660,1.969717
2012,12.940565,14.722056,20.931773,19.150282,1.781491
2013,12.989860,14.551511,21.175071,19.613419,1.561651
2014,12.804468,14.296799,21.601282,20.108952,1.492330
2015,12.685519,13.983802,21.639186,20.340903,1.298283
2016,12.553121,13.787399,21.714011,20.479732,1.234279
2017,12.527281,13.818873,22.166653,20.875060,1.291593
2018,12.592999,13.966778,22.787878,21.414099,1.373779
2019,12.231649,13.668587,23.213086,21.776149,1.436937
